SDS 2.4	AQ Results	1.0
Filename	102416_VK2_miScript
PlateID	
Assay Type	Absolute Quantification
Run DateTime	10/25/16 5:35:06 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
212	I20	sybr	SYBR	Unknown	20.187252	75.6	Auto Tm							Manual Ct		Automatic			Manual	0.3													
213	I21	sybr	SYBR	Unknown	20.150581	75.9	Auto Tm							Manual Ct		Automatic			Manual	0.3													
215	I23	sybr	SYBR	Unknown	21.607489	61.9	Auto Tm							Manual Ct		Automatic			Manual	0.3													
216	I24	sybr	SYBR	Unknown	21.561398	75.3	Auto Tm							Manual Ct		Automatic			Manual	0.3													
196	I4	sybr	SYBR	Unknown	23.441685	77.4	Auto Tm							Manual Ct		Automatic			Manual	0.3													
197	I5	sybr	SYBR	Unknown	23.38364	77.3	Auto Tm							Manual Ct		Automatic			Manual	0.3													
241	K1	sybr	SYBR	Unknown	22.398458	76.8	Auto Tm							Manual Ct		Automatic			Manual	0.3													
252	K12	sybr	SYBR	Unknown	23.205666	76.2	Auto Tm							Manual Ct		Automatic			Manual	0.3													
253	K13	sybr	SYBR	Unknown	23.34723	76.2	Auto Tm							Manual Ct		Automatic			Manual	0.3													
255	K15	sybr	SYBR	Unknown	Undetermined	76.5	Auto Tm							Manual Ct		Automatic			Manual	0.3				true		true			true				
256	K16	sybr	SYBR	Unknown	Undetermined	92.0	Auto Tm							Manual Ct		Automatic			Manual	0.3				true		true			true				
242	K2	sybr	SYBR	Unknown	22.509455	77.1	Auto Tm							Manual Ct		Automatic			Manual	0.3													
260	K20	sybr	SYBR	Unknown	Undetermined	61.9	Auto Tm							Manual Ct		Automatic			Manual	0.3				true		true			true				
261	K21	sybr	SYBR	Unknown	Undetermined	66.6	Auto Tm							Manual Ct		Automatic			Manual	0.3				true		true			true				
263	K23	sybr	SYBR	Unknown	18.676226	75.9	Auto Tm							Manual Ct		Automatic			Manual	0.3													
264	K24	sybr	SYBR	Unknown	18.242592	75.3	Auto Tm							Manual Ct		Automatic			Manual	0.3													
244	K4	sybr	SYBR	Unknown	Undetermined	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.3				true		true			true				
245	K5	sybr	SYBR	Unknown	36.50624	76.3	Auto Tm							Manual Ct		Automatic			Manual	0.3													
289	M1	sybr	SYBR	Unknown	22.986206	76.8	Auto Tm							Manual Ct		Automatic			Manual	0.3													
