miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez Gene ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT001013	hsa-miR-34a-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Western blot	Functional MTI	20309880
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot//Reporter assay	Functional MTI	18406353
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	Luciferase reporter assay	Functional MTI	19461653
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	qRT-PCR//Western blot//Luciferase reporter assay	Functional MTI	19584398
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	Luciferase reporter assay//Western blot//Microarray	Functional MTI	17914404
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19773441
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	Western blot;Other	Functional MTI	21240262
MIRT001012	hsa-miR-34a-5p	Homo sapiens	CDK6	1021	Homo sapiens	qRT-PCR//Western blot	Functional MTI	23035210
MIRT001011	hsa-miR-34a-5p	Homo sapiens	CDC25A	993	Homo sapiens	Western blot	Non-Functional MTI	18406353
MIRT001010	hsa-miR-34a-5p	Homo sapiens	CCND3	896	Homo sapiens	Western blot	Non-Functional MTI	18406353
MIRT004341	hsa-miR-212-3p	Homo sapiens	TJP1	7082	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18162065
MIRT004345	hsa-miR-450a-5p	Homo sapiens	HNRNPK	3190	Homo sapiens	Western blot//Microarray	Functional MTI	18230805
MIRT000998	hsa-miR-519c-3p	Homo sapiens	ABCG2	9429	Homo sapiens	Western blot//Luciferase reporter assay//qRT-PCR	Functional MTI	18573883
