Study,Well,PrimerPair,Replicate,Sample,Row,Col,CellLine,ExposureTime,BCM,Sample Name,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,hrN,EAF,BAF,TAF,CAF
112816,242,miR-193b,2,112816_MEDIA_1hr,K,2,VK2,1hr,MEDIA,K2,sybr,SYBR,Unknown,25.449547,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,290,miR-193b,2,112816_NTC_NA,M,2,VK2,NA,NTC,M2,sybr,SYBR,Unknown,NA,91,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,TRUE,,TRUE,,,TRUE,,,
112816,3,miR-193b,3,112816_LINERS_0.5hr,A,3,VK2,0.5hr,LINERS,A3,sybr,SYBR,Unknown,27.634863,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,51,miR-193b,3,112816_LINERS_4hr,C,3,VK2,4hr,LINERS,C3,sybr,SYBR,Unknown,26.03028,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,99,miR-193b,3,112816_LCRISP_1hr,E,3,VK2,1hr,LCRISP,E3,sybr,SYBR,Unknown,28.686922,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,147,miR-193b,3,112816_LINERS_1hr,G,3,VK2,1hr,LINERS,G3,sybr,SYBR,Unknown,26.785358,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,195,miR-193b,3,112816_GVAG_1hr,I,3,VK2,1hr,GVAG,I3,sybr,SYBR,Unknown,25.958496,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,243,miR-193b,3,112816_MEDIA_1hr,K,3,VK2,1hr,MEDIA,K3,sybr,SYBR,Unknown,25.479301,77.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,291,miR-193b,3,112816_NTC_NA,M,3,VK2,NA,NTC,M3,sybr,SYBR,Unknown,NA,78,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,TRUE,,TRUE,,,TRUE,,,
112816,22,RNU6,1,112816_LINERS_0.5hr,A,22,VK2,0.5hr,LINERS,A22,sybr,SYBR,Unknown,22.734581,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,70,RNU6,1,112816_LINERS_4hr,C,22,VK2,4hr,LINERS,C22,sybr,SYBR,Unknown,21.406881,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,118,RNU6,1,112816_LCRISP_1hr,E,22,VK2,1hr,LCRISP,E22,sybr,SYBR,Unknown,23.981123,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,166,RNU6,1,112816_LINERS_1hr,G,22,VK2,1hr,LINERS,G22,sybr,SYBR,Unknown,22.652187,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,214,RNU6,1,112816_GVAG_1hr,I,22,VK2,1hr,GVAG,I22,sybr,SYBR,Unknown,21.902857,75.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
