Study,Well,Sample,Sample Name,Detector Name,Reporter,Task,Ct,PrimerPair,BCM,ExposureTime,CellLine,Replicate,Row,Col,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
091417,98,091417_DL_10_4hr,E2,sybr,SYBR,Unknown,22.890408,miR-193b,DL_10,4hr,VK2,2,E,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,146,091417_DL_10_8hr,G2,sybr,SYBR,Unknown,22.86323,miR-193b,DL_10,8hr,VK2,2,G,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,194,091417_DL_10_16hr,I2,sybr,SYBR,Unknown,22.974947,miR-193b,DL_10,16hr,VK2,2,I,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,242,091417_DL_10_19hr,K2,sybr,SYBR,Unknown,23.05281,miR-193b,DL_10,19hr,VK2,2,K,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,290,091417_DL_10_22hr,M2,sybr,SYBR,Unknown,23.501562,miR-193b,DL_10,22hr,VK2,2,M,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,338,091417_MEDIA_0.5hr,O2,sybr,SYBR,Unknown,23.601107,miR-193b,MEDIA,0.5hr,VK2,2,O,2,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,3,091417_DL_10_0.5hr,A3,sybr,SYBR,Unknown,31.099405,miR-193b,DL_10,0.5hr,VK2,3,A,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,51,091417_DL_10_1hr,C3,sybr,SYBR,Unknown,22.832586,miR-193b,DL_10,1hr,VK2,3,C,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,99,091417_DL_10_4hr,E3,sybr,SYBR,Unknown,22.849497,miR-193b,DL_10,4hr,VK2,3,E,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,147,091417_DL_10_8hr,G3,sybr,SYBR,Unknown,22.385187,miR-193b,DL_10,8hr,VK2,3,G,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,195,091417_DL_10_16hr,I3,sybr,SYBR,Unknown,22.715546,miR-193b,DL_10,16hr,VK2,3,I,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,243,091417_DL_10_19hr,K3,sybr,SYBR,Unknown,23.154095,miR-193b,DL_10,19hr,VK2,3,K,3,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
