Study,Well,Sample Name,Detector Name,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Row,Col,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011717,242,K2,sybr,miR-193b,2,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,2,SYBR,Unknown,22.538889,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,290,M2,sybr,miR-193b,2,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,2,SYBR,Unknown,23.898653,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,338,O2,sybr,miR-193b,2,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,2,SYBR,Unknown,23.551138,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,3,A3,sybr,miR-193b,3,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,3,SYBR,Unknown,23.65875,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,51,C3,sybr,miR-193b,3,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,3,SYBR,Unknown,23.11779,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,99,E3,sybr,miR-193b,3,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,3,SYBR,Unknown,23.020105,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,147,G3,sybr,miR-193b,3,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,3,SYBR,Unknown,23.336023,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,195,I3,sybr,miR-193b,3,011717_VK2_DL_0_08_1hr,VK2,1hr,DL_0_08,I,3,SYBR,Unknown,23.972708,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,243,K3,sybr,miR-193b,3,011717_VK2_DL_0_06_1hr,VK2,1hr,DL_0_06,K,3,SYBR,Unknown,22.92733,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,291,M3,sybr,miR-193b,3,011717_VK2_L_0_08_1hr,VK2,1hr,L_0_08,M,3,SYBR,Unknown,23.906643,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,339,O3,sybr,miR-193b,3,011717_VK2_L_0_06_1hr,VK2,1hr,L_0_06,O,3,SYBR,Unknown,23.542564,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,6,A6,sybr,miR-182,1,011717_VK2_LCRISP_1hr,VK2,1hr,LCRISP,A,6,SYBR,Unknown,24.71387,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,54,C6,sybr,miR-182,1,011717_VK2_LINERS_1hr,VK2,1hr,LINERS,C,6,SYBR,Unknown,24.123331,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,102,E6,sybr,miR-182,1,011717_VK2_GVAG_1hr,VK2,1hr,GVAG,E,6,SYBR,Unknown,24.06606,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
011717,150,G6,sybr,miR-182,1,011717_VK2_MEDIA_1hr,VK2,1hr,MEDIA,G,6,SYBR,Unknown,24.437235,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
