Sample,Well,Sample Name,Study,BCM,ExposureTime,PrimerPair,Replicate,CellLine,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct MEDIAian,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
11717_rerun_0_06_L_1hr,168,011717_06_L_1hr_RNU6,11717_rerun,0_06_L,1hr,RNU6,3,VK2,sybr,SYBR,Unknown,21.500032,,,,,,21.599873,21.585526,0.079301566,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_L_4hr,262,022017_06_L_4hr_RNU6,22017_rerun,0_06_L,4hr,RNU6,1,VK2,sybr,SYBR,Unknown,19.09127,,,,,,19.09127,19.295942,0.38701916,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_L_4hr,263,022017_06_L_4hr_RNU6,22017_rerun,0_06_L,4hr,RNU6,2,VK2,sybr,SYBR,Unknown,19.742321,,,,,,19.09127,19.295942,0.38701916,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_L_4hr,264,022017_06_L_4hr_RNU6,22017_rerun,0_06_L,4hr,RNU6,3,VK2,sybr,SYBR,Unknown,19.054234,,,,,,19.09127,19.295942,0.38701916,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_08_DL_1hr,22,011717_08_DL_1hr_RNU6,11717_rerun,0_08_DL,1hr,RNU6,1,VK2,sybr,SYBR,Unknown,21.80054,,,,,,21.666567,21.705332,0.082923405,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_08_DL_1hr,23,011717_08_DL_1hr_RNU6,11717_rerun,0_08_DL,1hr,RNU6,2,VK2,sybr,SYBR,Unknown,21.648895,,,,,,21.666567,21.705332,0.082923405,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_08_DL_1hr,24,011717_08_DL_1hr_RNU6,11717_rerun,0_08_DL,1hr,RNU6,3,VK2,sybr,SYBR,Unknown,21.666567,,,,,,21.666567,21.705332,0.082923405,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_08_L_1hr,118,011717_08_L_1hr_RNU6,11717_rerun,0_08_L,1hr,RNU6,1,VK2,sybr,SYBR,Unknown,21.523752,,,,,,21.401419,21.414183,0.10377884,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_08_L_1hr,119,011717_08_L_1hr_RNU6,11717_rerun,0_08_L,1hr,RNU6,2,VK2,sybr,SYBR,Unknown,21.401419,,,,,,21.401419,21.414183,0.10377884,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_08_L_1hr,120,011717_08_L_1hr_RNU6,11717_rerun,0_08_L,1hr,RNU6,3,VK2,sybr,SYBR,Unknown,21.317375,,,,,,21.401419,21.414183,0.10377884,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_GVAG_1hr,68,011717_GVAG_1hr_RNU6,11717_rerun,GVAG,1hr,RNU6,1,VK2,sybr,SYBR,Unknown,20.484606,,,,,,19.783323,19.783323,0.99176323,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_GVAG_1hr,69,011717_GVAG_1hr_RNU6,11717_rerun,GVAG,1hr,RNU6,2,VK2,sybr,SYBR,Unknown,19.08204,,,,,,19.783323,19.783323,0.99176323,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_GVAG_4hr,116,022017_GVAG_4hr_RNU6,22017_rerun,GVAG,4hr,RNU6,1,VK2,sybr,SYBR,Unknown,19.628946,,,,,,18.595966,18.595966,1.4608543,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_GVAG_4hr,117,022017_GVAG_4hr_RNU6,22017_rerun,GVAG,4hr,RNU6,2,VK2,sybr,SYBR,Unknown,17.562986,,,,,,18.595966,18.595966,1.4608543,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_MEDIA_1hr,358,011717_MEDIA_1hr_RNU6,11717_rerun,MEDIA,1hr,RNU6,1,VK2,sybr,SYBR,Unknown,20.520416,,,,,,20.717836,20.703894,0.17691949,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_MEDIA_1hr,359,011717_MEDIA_1hr_RNU6,11717_rerun,MEDIA,1hr,RNU6,2,VK2,sybr,SYBR,Unknown,20.87343,,,,,,20.717836,20.703894,0.17691949,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_MEDIA_1hr,360,011717_MEDIA_1hr_RNU6,11717_rerun,MEDIA,1hr,RNU6,3,VK2,sybr,SYBR,Unknown,20.717836,,,,,,20.717836,20.703894,0.17691949,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_MEDIA_4hr,20,022017_MEDIA_4hr_RNU6,22017_rerun,MEDIA,4hr,RNU6,1,VK2,sybr,SYBR,Unknown,20.26386,,,,,,19.666033,19.666033,0.84545636,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_MEDIA_4hr,21,022017_MEDIA_4hr_RNU6,22017_rerun,MEDIA,4hr,RNU6,2,VK2,sybr,SYBR,Unknown,19.068205,,,,,,19.666033,19.666033,0.84545636,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
