Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
022017,242,K2,K,2,miR-193b,2,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,20.601059,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,290,M2,M,2,miR-193b,2,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,20.44177,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,338,O2,O,2,miR-193b,2,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,22.734835,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,3,A3,A,3,miR-193b,3,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,20.701807,76.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,51,C3,C,3,miR-193b,3,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,20.617348,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,99,E3,E,3,miR-193b,3,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,20.471987,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,147,G3,G,3,miR-193b,3,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,20.33468,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,195,I3,I,3,miR-193b,3,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,20.888824,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,243,K3,K,3,miR-193b,3,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,20.950642,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,291,M3,M,3,miR-193b,3,022017_VK2_HCL_4hr,VK2,4hr,HCL,sybr,SYBR,Unknown,20.702112,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,339,O3,O,3,miR-193b,3,022017_A2EN_CK4_INHIBITOR_SP,A2EN,SP,CK4_INHIBITOR,sybr,SYBR,Unknown,22.469357,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,4,A4,A,4,miR-193b,1,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,22.76384,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,52,C4,C,4,miR-193b,1,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,22.805008,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,100,E4,E,4,miR-193b,1,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,24.116081,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,148,G4,G,4,miR-193b,1,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,23.517244,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,5,A5,A,5,miR-193b,2,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,23.05718,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,53,C5,C,5,miR-193b,2,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,22.953554,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,101,E5,E,5,miR-193b,2,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,23.794142,76.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,149,G5,G,5,miR-193b,2,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,23.42184,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,6,A6,A,6,miR-193b,3,022017_A2EN_FASC_INHIBITOR_SP,A2EN,SP,FASC_INHIBITOR,sybr,SYBR,Unknown,23.142233,76.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,54,C6,C,6,miR-193b,3,022017_A2EN_SIS_INHIBITOR_SP,A2EN,SP,SIS_INHIBITOR,sybr,SYBR,Unknown,22.951942,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,102,E6,E,6,miR-193b,3,022017_A2EN_LCRISP_SP,A2EN,SP,LCRISP,sybr,SYBR,Unknown,23.746124,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,150,G6,G,6,miR-193b,3,022017_A2EN_CONTROL_SP,A2EN,SP,CONTROL,sybr,SYBR,Unknown,23.550514,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,12,A12,A,12,miR-182,1,022017_VK2_LJENS_0.5hr,VK2,0.5hr,LJENS,sybr,SYBR,Unknown,21.927387,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,60,C12,C,12,miR-182,1,022017_VK2_LJENS_1hr,VK2,1hr,LJENS,sybr,SYBR,Unknown,21.965435,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,108,E12,E,12,miR-182,1,022017_VK2_LJENS_11hr,VK2,11hr,LJENS,sybr,SYBR,Unknown,22.316664,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,156,G12,G,12,miR-182,1,022017_VK2_0_06_D_4hr,VK2,4hr,0_06_D,sybr,SYBR,Unknown,21.85483,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,204,I12,I,12,miR-182,1,022017_VK2_0_06_L_4hr,VK2,4hr,0_06_L,sybr,SYBR,Unknown,21.942617,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
022017,252,K12,K,12,miR-182,1,022017_VK2_0_06_DL_4hr,VK2,4hr,0_06_DL,sybr,SYBR,Unknown,22.409529,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
