Well,Sample Name,Col,Row,PrimerPair,Sample,ExposureTime,Replicate,BCM,CellLine,Study,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
119,E23,E,23,RNU6,110816_VK2_GVAG,13hr,2,GVAG,VK2,110816,sybr,SYBR,Unknown,20.441408,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
120,E24,E,24,RNU6,110816_VK2_GVAG,13hr,3,GVAG,VK2,110816,sybr,SYBR,Unknown,19.601273,75.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
145,G1,G,1,miR-193b,110816_VK2_MEDIA,13hr,1,MEDIA,VK2,110816,sybr,SYBR,Unknown,23.133265,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
146,G2,G,2,miR-193b,110816_VK2_MEDIA,13hr,2,MEDIA,VK2,110816,sybr,SYBR,Unknown,23.418528,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
147,G3,G,3,miR-193b,110816_VK2_MEDIA,13hr,3,MEDIA,VK2,110816,sybr,SYBR,Unknown,22.961468,77.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
156,G12,G,12,miR-182,110816_VK2_MEDIA,13hr,1,MEDIA,VK2,110816,sybr,SYBR,Unknown,23.76646,76.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
157,G13,G,13,miR-182,110816_VK2_MEDIA,13hr,2,MEDIA,VK2,110816,sybr,SYBR,Unknown,23.877281,76.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
158,G14,G,14,miR-182,110816_VK2_MEDIA,13hr,3,MEDIA,VK2,110816,sybr,SYBR,Unknown,23.933186,76.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
166,G22,G,22,RNU6,110816_VK2_MEDIA,13hr,1,MEDIA,VK2,110816,sybr,SYBR,Unknown,19.139315,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
167,G23,G,23,RNU6,110816_VK2_MEDIA,13hr,2,MEDIA,VK2,110816,sybr,SYBR,Unknown,19.169607,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
168,G24,G,24,RNU6,110816_VK2_MEDIA,13hr,3,MEDIA,VK2,110816,sybr,SYBR,Unknown,19.002325,75.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
