Well,Sample Name,Detector Name,Reporter,Row,Col,PrimerPair,Sample,Replicate,Study,BCM,ExposureTime,CellLine,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
291,M3,sybr,SYBR,M,3,RNU6,042417_D_8_4hr,3,042417,D_8,4hr,VK2,Unknown,17.503742,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
241,K1,sybr,SYBR,K,1,RNU6,042417_DL_10_4hr,1,042417,DL_10,4hr,VK2,Unknown,18.35228,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
242,K2,sybr,SYBR,K,2,RNU6,042417_DL_10_4hr,2,042417,DL_10,4hr,VK2,Unknown,18.606884,62.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
243,K3,sybr,SYBR,K,3,RNU6,042417_DL_10_4hr,3,042417,DL_10,4hr,VK2,Unknown,18.547602,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
97,E1,sybr,SYBR,E,1,RNU6,042417_DL_12_4hr,1,042417,DL_12,4hr,VK2,Unknown,18.817898,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
98,E2,sybr,SYBR,E,2,RNU6,042417_DL_12_4hr,2,042417,DL_12,4hr,VK2,Unknown,18.876877,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
99,E3,sybr,SYBR,E,3,RNU6,042417_DL_12_4hr,3,042417,DL_12,4hr,VK2,Unknown,18.886164,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
5,A5,sybr,SYBR,A,5,RNU6,042417_DL_8_4hr,1,042417,DL_8,4hr,VK2,Unknown,17.707493,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
6,A6,sybr,SYBR,A,6,RNU6,042417_DL_8_4hr,2,042417,DL_8,4hr,VK2,Unknown,18.178637,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
7,A7,sybr,SYBR,A,7,RNU6,042417_DL_8_4hr,3,042417,DL_8,4hr,VK2,Unknown,18.241146,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
